id_cliente,nombre,apellido,genero,fecha_nacimiento,provincia,segmento_cliente,estado_cliente
CLI000943,Kevin,Mora Castro,Masculino,1993-07-09,Limón,Joven,Activo
CLI006607,María,Navarro Madrigal,Femenino,1980-12-22,Guanacaste,Básico,Activo
CLI006808,Francisco,Zúñiga Zúñiga,Masculino,2007-11-20,Limón,Estándar,Inactivo
CLI007057,Óscar,Méndez Vargas,Masculino,2004-03-18,Cartago,Estándar,Activo
CLI006484,Gerardo,Hernández Bolaños,Masculino,1979-04-15,Alajuela,Estándar,Activo
CLI002817,Kevin,Alvarado Quesada,Masculino,1973-07-29,Limón,Empresarial,Activo
CLI004717,Verónica,Cordero González,Femenino,2002-08-17,Guanacaste,Estándar,Inactivo
CLI002500,Alejandra,Gómez Alvarado,Femenino,1978-01-26,Guanacaste,Empresarial,Activo
CLI007491,Javier,González Rodríguez,Masculino,1964-01-04,Heredia,Joven,Activo
CLI003897,Pablo,Bolaños Castro,Masculino,1982-08-07,Cartgago,Joven,Activo
CLI001454,Marisol,Carmona Vargas,Femenino,1970-10-13,Heredia,Estándar,Activo
CLI002943,Ana,Vargas Gómez,Femenino,1999-05-17,Hereda,Joven,Activo
CLI000462,Rodrigo,Zúñiga Rojas,Masculino,1989-09-11,Cartago,Joven,Activo
CLI002704,Marco,Chacón Jiménez,Masculino,1998-07-28,Heredia,Básico,Activo
CLI001750,Ana,Gómez Calderón,Femenino,1975-08-17,Alajuela,Estándar,Activo
CLI003540,Lucía,Hernández Cordero,Femenino,2001-09-23,San José,Básico,Activo
CLI000576,Alejandra,Espinoza Monge,Femenino,1977-10-11,Limón,Joven,Activo
CLI002712,Marcela,Mora Salazar,Femenino,1985-10-28,Limón,Estándar,Activo
CLI003889,Sergio,Carmona Jiménez,Masculino,2001-03-27,Alajuela,Básico,Inactivo
CLI001814,Valeria,Campos Salazar,Femenino,1984-02-14,Heredia,Premium,Activo
CLI006298,Adrián,Rojas Ramírez,Masculino,1987-12-20,Alajuela,Joven,Activo
CLI007869,Ana,Ramírez Vega,Femenino,1954-03-18,Puntarenas,Estándar,Activo
CLI005748,Iván,Ureña Pérez,Masculino,1971-10-01,Cartago,Premium,Activo
CLI002211,Raúl,Brenes Zúñiga,Masculino,1992-03-14,Heredia,Premium,Activo
CLI005933,Rodrigo,Fonseca Alvarado,Masculino,1974-11-28, Cartago,Premium,Activo
CLI004917,Iván,Hernández Mora,Masculino,1966-01-03,Puntarenas,Empresarial,Activo
CLI002333,Felipe,Jiménez González,Masculino,1963-02-17,Guanacaste,Básico,Activo
CLI005219,Carlos,Ramírez Gómez,Masculino,1953-01-10,Heredia,Estándar,Activo
CLI007284,Valeria,Alvarado Garro,Femenino,1977-07-02,Puntarenas,Empresarial,Activo
CLI004835,Roberto,Zúñiga Navarro,Masculino,1981-01-28,Guanacaste,Básico,Activo
CLI001612,Eduardo,Vargas Rodríguez,Masculino,2007-06-10,Cartago,Joven,Activo
CLI004399,Óscar,Chacón Bolaños,Masculino,1987-08-30,Alajuela,Joven,Activo
CLI002351,Fernando,Espinoza Cordero,Masculino,1989-11-24,Heredia,Estándar,Activo
CLI003395,Andrés,Ramírez Quesada,Masculino,1961-09-05,Alajuela,Estándar,Activo
CLI007550,Laura,Campos Fonseca,Femenino,2005-10-05,Limón,Empresarial,Activo
CLI006592,Daniela,Carmona Calderón,Femenino,1989-10-31,Puntarenas,Estándar,Activo
CLI007591,Sofía,Rojas González,Femenino,1959-02-06,Hereda,Empresarial,Activo
CLI006373,Patricia,Bolaños Gómez,Femenino,1996-10-01,Alajuela,Empresarial,Activo
CLI001747,Natalia,Vega Campos,Femenino,2008-04-18,Limón,Estándar,Activo
CLI006723,Felipe,González Cordero,Masculino,2000-03-09,Cartago,Premium,Inactivo
CLI006907,Lucía,Quesada Navarro,Femenino,1970-07-14,San José,Estándar,Activo
CLI006108,Fabiola,Fonseca Quesada,Femenino,1989-03-04,Guanacaste,Joven,Activo
CLI002410,Iván,Campos Sánchez,Masculino,1986-06-24,Cartago,Joven,Inactivo
CLI005538,Silvia,Bolaños Alvarado,Femenino,1970-07-22,San José,Empresarial,Inactivo
CLI002823,Ana,Chacón Monge,Femenino,1969-07-06,Guanacaste,Premium,Activo
CLI003278,Adriana,González Garro,Femenino,1978-08-03,Guanacaste,Joven,Activo
CLI006288,Alejandro,Sánchez Pérez,Masculino,2001-02-20,Puntarenas,Estándar,Activo
CLI002937,Ricardo,Jiménez Salazar,Masculino,2000-05-09,Cartago,Joven,Inactivo
CLI007489,Diego,Rodríguez Madrigal,Masculino,2007-08-28,Guanacaste,Básico,Activo
CLI005993,Alejandro,Chacón Cordero,Masculino,1997-03-22,Hereda,Estándar,Activo
CLI000318,Rebeca,Salazar Ureña,Femenino,2002-03-08,Heredia,Joven,Activo
CLI000290,Juan,Garro Fonseca,Masculino,2001-02-07,Heredia,Básico,Activo
CLI006095,Tatiana,Quesada Castro,Femenino,2000-11-12,Guanacaste,Empresarial,Activo
CLI005860,Sergio,Bolaños Cordero,Masculino,1979-10-19,Puntarenas,Básico,Activo
CLI005971,Kevin,Carmona Madrigal,Masculino,2005-10-29,Puntarenas,Premium,Activo
CLI004882,Fabiola,Rodríguez Bolaños,Femenino,1969-02-28,Alajuela,Básico,Activo
CLI006811,Carolina,Cordero Vargas,Femenino,2005-01-22,Puntarenas,Premium,Activo
CLI000125,Silvia,Villalobos Pérez,Femenino,1978-10-11,San José,Joven,Activo
CLI007242,Daniela,Ureña Pérez,Femenino,2008-01-11,HEREDIA,Estándar,Activo
CLI005152,Ricardo,Navarro Vega,Masculino,1978-06-23,Hereda,Empresarial,Activo
CLI000470,Diego,Navarro Madrigal,Masculino,1962-06-26,Puntarenas,Estándar,Activo
CLI003333,Yolanda,Hernández Bolaños,Femenino,2005-02-15,Alajuela,Básico,Activo
CLI004161,Tatiana,Villalobos Cordero,Femenino,1993-08-25,Heredia,Empresarial,Inactivo
CLI003141,Miguel,Vega Monge,Masculino,1975-12-26,Limón,Premium,Activo
CLI007859,Iván,Zúñiga Castro,Masculino,1974-05-01,Guanacaste,Estándar,Activo
CLI007990,Alejandra,Sánchez Solano,Femenino,1957-08-27,Alajuela,Empresarial,Activo
CLI004276,Daniel,Zúñiga Rojas,Masculino,1954-05-26,Heredia,Empresarial,Activo
CLI004515,Raúl,Méndez Carmona,Masculino,1952-04-02,Puntarenas,Premium,Inactivo
CLI005825,Esteban,Salazar Navarro,Masculino,1978-12-08,Guanacaste,Básico,Activo
CLI001564,Paola,Navarro Fonseca,Femenino,2000-10-28,Puntarenas,Estándar,Activo
CLI001887,Alejandro,Calderón Araya,Masculino,1958-09-26,Alajuela,Estándar,Inactivo
CLI006869,Kevin,Hernández Brenes,Masculino,1970-06-30,San José,Joven,Activo
CLI005217,Andrea,Bolaños Quesada,Femenino,1967-06-01,alajuela,Empresarial,Activo
CLI000742,Gabriela,Campos Calderón,Femenino,1974-04-07,Limón,Básico,Activo
CLI006026,Víctor,Solano Alvarado,Masculino,1990-03-29,Guanacaste,Estándar,Activo
CLI001659,Pablo,Mora Chacón,Masculino,1976-03-02,Heredia,Premium,Activo
CLI005346,Paola,Zúñiga Espinoza,Femenino,1962-10-03,Hereda,Básico,Activo
CLI004210,Adriana,Salazar Ramírez,Femenino,1960-12-28,Limón,Empresarial,Activo
CLI002098,Laura,Castro Ramírez,Femenino,1969-11-16,Cartgago,Estándar,Activo
CLI004434,Cristina,Zúñiga Espinoza,Femenino,2001-02-13,Puntarenas,Estándar,Activo
CLI002883,Silvia,Mora Quesada,Femenino,1997-10-26,LIMON,Joven,Activo
CLI005627,Miguel,Rojas Méndez,Masculino,1952-07-25,Cartgago,Estándar,Activo
CLI005403,Gabriela,Garro Alvarado,Femenino,1959-01-20,Guanacaste,Joven,Activo
CLI001679,Daniel,Araya Calderón,Masculino,1975-05-04,Cartgago,Básico,Activo
CLI002143,Javier,Vargas Madrigal,Masculino,1961-08-20,Puntarenas,Premium,Activo
CLI003034,Miguel,Quesada Zúñiga,Masculino,1954-06-03,Heredia,Estándar,Inactivo
CLI005550,Marisol,Cordero Sánchez,Femenino,1963-09-14,Guanacaste,Básico,Inactivo
CLI002670,Mónica,Vega Espinoza,Femenino,1990-12-21,Heredia,Estándar,Activo
CLI003947,Mónica,Pérez Espinoza,Femenino,1974-07-31,Heredia,Empresarial,Activo
CLI005629,Marco,Carmona Bolaños,Masculino,1962-01-13,Hereda,Estándar,Activo
CLI001937,Eduardo,Campos Brenes,Masculino,1965-11-14,Heredia,Empresarial,Activo
CLI005763,Raúl,Mora Mora,Masculino,1964-01-21,San José,Joven,Activo
CLI005841,Eduardo,González González,Masculino,1974-11-18,San José,Estándar,Inactivo
CLI005884,Roberto,Ramírez Castro,Masculino,1975-10-24,Limón,Estándar,Activo
CLI002738,Sergio,Hernández Calderón,Masculino,1971-07-07,Heredia,Básico,Activo
CLI007963,Gabriela,Jiménez Brenes,Femenino,1974-10-18,Alajuela,Estándar,Inactivo
CLI000351,Mónica,Mora Solano,Femenino,1986-07-01,alajuela,Empresarial,Activo
CLI003752,Daniel,Fonseca Vargas,Masculino,1998-10-15,Puntarenas,Empresarial,Inactivo
CLI005509,Alejandro,Araya Bolaños,Masculino,1997-12-26,Cartago,Premium,Activo
CLI003688,Melissa,Cordero Ureña,Femenino,1966-05-22,Cartago,Estándar,Inactivo
CLI007675,Daniela,Castro Zúñiga,Femenino,1959-08-18,Heredia,Empresarial,Inactivo
CLI006708,Miguel,Mora Gómez,Masculino,2006-05-08,San José,Empresarial,Activo
CLI006152,María,Méndez Villalobos,Femenino,1977-06-28,Hereda,Empresarial,Activo
CLI004560,Cristina,Araya Espinoza,Femenino,2005-12-24,Guanacaste,Básico,Activo
CLI004059,Andrés,Alvarado Vargas,Masculino,1990-06-15,Puntarenas,Básico,Activo
CLI006271,Alejandro,Alvarado Campos,Masculino,1952-10-11,San José,Empresarial,Inactivo
CLI001673,Patricia,Solano Rojas,Femenino,2002-12-29,San José,Empresarial,Activo
CLI004043,Andrés,Villalobos González,Masculino,1968-10-03,Limón,Básico,Inactivo
CLI004408,Marcela,Alvarado Vega,Femenino,1954-03-27,Puntarenas,Premium,Activo
CLI004484,Pablo,Araya González,Masculino,1982-03-28,Cartago,Joven,Activo
CLI002245,Javier,Ureña Solano,Masculino,1967-07-04,Alajuela,Premium,Activo
CLI005555,Pablo,González Navarro,Masculino,1985-04-16,Puntarenas,Premium,Activo
CLI004139,Daniela,Mora Carmona,Femenino,1990-11-14,Guanacaste,Básico,Inactivo
CLI005076,Laura,Espinoza Gómez,Femenino,1994-09-20,Puntarenas,Estándar,Activo
CLI000008,Vanessa,Salazar Castro,Femenino,2006-09-20,Alajuela,Premium,Inactivo
CLI004870,Paola,Rojas Méndez,Femenino,2005-01-15,Puntarenas,Estándar,Activo
CLI003056,Diego,Alvarado Quesada,Masculino,1989-07-04,Puntarenas,Joven,Activo
CLI002966,Lucía,Espinoza Pérez,Femenino,1998-05-06,Puntarenas,Premium,Activo
CLI004864,Francisco,Espinoza Monge,Masculino,1966-07-27,Cartago,Empresarial,Activo
CLI005488,Raúl,Quesada Campos,Masculino,1957-07-28,Cartago,Empresarial,Inactivo
CLI005197,Diego,Garro Pérez,Masculino,1998-04-07,Alajuela,Básico,Activo
CLI004242,Felipe,Hernández Rodríguez,Masculino,1977-11-26,San José,Básico,Activo
CLI004643,Raúl,Brenes Pérez,Masculino,1996-03-28,Heredia,Empresarial,Activo
CLI004389,Karla,Zúñiga Jiménez,Femenino,1973-08-31,Alajuela,Premium,Activo
CLI003409,Alejandro,Araya Solano,Masculino,1961-02-25,Puntarenas,Premium,Inactivo
CLI003446,Raúl,Ramírez Brenes,Masculino,2002-01-02,cartago,Joven,Activo
CLI000614,Daniel,Araya Navarro,Masculino,1981-10-21,San José,Básico,Activo
CLI002512,Fernando,Rojas Araya,Masculino,1959-01-26,Heredia,Empresarial,Activo
CLI006304,Natalia,Alvarado Cordero,Femenino,1993-11-03,Guanacaste,Empresarial,Inactivo
CLI002581,Sofía,Cordero Garro,Femenino,1993-08-10,Heredia,Joven,Activo
CLI000097,Valeria,Carmona Quesada,Femenino,1983-12-01,San José,Estándar,Activo
CLI005568,Gabriela,Madrigal Mora,Femenino,1980-02-06,Guanacaste,Estándar,Activo
CLI007618,Kevin,Monge Navarro,Masculino,1991-03-15,Puntarenas,Empresarial,Activo
CLI004527,Tatiana,Monge Hernández,Femenino,1983-04-03,Limón,Empresarial,Activo
CLI006181,Marisol,González Ureña,Femenino,1983-02-09,Puntarenas,Premium,Inactivo
CLI003197,Gabriela,González Ramírez,Femenino,1990-08-02,Puntarenas,Estándar,Inactivo
CLI007884,Verónica,Garro Fonseca,Femenino,1995-10-12,San José,Básico,Inactivo
CLI000689,Felipe,González Sánchez,Masculino,1956-12-17,San José,Joven,Inactivo
CLI005664,Raúl,Sánchez Araya,Masculino,1975-02-28,Guanacaste,Premium,Activo
CLI002385,Marisol,Ureña Pérez,Femenino,1951-10-09,Puntarenas,Básico,Activo
CLI007940,Gerardo,Mora Garro,Masculino,2000-04-17,Cartago,Premium,Activo
CLI007386,Andrés,Villalobos Monge,Masculino,1976-11-07,Heredia,Premium,Activo
CLI001221,Diego,González Navarro,Masculino,1980-08-07,San José,Empresarial,Activo
CLI000771,Tatiana,Villalobos Carmona,Femenino,2002-05-26,Hereda,Premium,Inactivo
CLI006892,Sergio,Mora Pérez,Masculino,1957-09-16,Alajuela,Premium,Activo
CLI005129,Tatiana,Brenes Vega,Femenino,2002-08-05,Limón,Premium,Activo
CLI003826,Marcela,Brenes Monge,Femenino,1999-01-10,Alajuela,Estándar,Activo
CLI000079,Cristina,Vargas Hernández,Femenino,1976-12-18,Puntarenas,Estándar,Activo
CLI002176,Mauricio,Quesada Rodríguez,Masculino,1978-09-11,Puntarenas,Básico,Activo
CLI000164,Luis,Vargas Brenes,Masculino,1987-10-30,Heredia,Joven,Activo
CLI000145,Adrián,Brenes Castro,Masculino,1982-06-15,San José,Básico,Inactivo
CLI004534,Gerardo,Monge Fonseca,Masculino,1954-08-17,Cartago,Premium,Activo
CLI007733,Tatiana,González Bolaños,Femenino,1964-07-03,Alajuela,Joven,Activo
CLI001764,Andrés,Monge Hernández,Masculino,1966-11-13,Heredia,Premium,Inactivo
CLI001269,Ana,Méndez Monge,Femenino,1971-07-31,Puntarenas,Joven,Inactivo
CLI004815,Francisco,Rojas Ureña,Masculino,1971-12-25,San José,Estándar,Activo
CLI002243,Sergio,Cordero Jiménez,Masculino,1983-05-19,Alajuela,Estándar,Activo
CLI002462,Tatiana,Cordero Quesada,Femenino,1983-10-07,Heredia,Empresarial,Activo
CLI003120,Adrián,Bolaños Garro,Masculino,1991-11-27,Puntarenas,Joven,Activo
CLI004338,Gerardo,Cordero Espinoza,Masculino,1981-06-09,Alajuela,Estándar,Inactivo
CLI004281,Pablo,Carmona Vega,Masculino,1962-08-12,San José,Estándar,Activo
CLI007148,Raúl,Zúñiga Espinoza,Masculino,1967-08-12,Guanacaste,Básico,Activo
CLI007774,Alejandro,Solano Pérez,Masculino,1988-01-25,Puntarenas,Premium,Activo
CLI004032,Rodrigo,Sánchez Vega,Masculino,1990-10-31,San José,Premium,Activo
CLI004193,Ricardo,Navarro Calderón,Masculino,1972-12-03,Limón,Estándar,Activo
CLI005668,Yolanda,Cordero Villalobos,Femenino,1953-01-19,Alajuela,Estándar,Activo
CLI007978,Laura,Sánchez Ramírez,Femenino,1961-11-24,Alajuela,Empresarial,Inactivo
CLI007035,Raúl,Méndez Navarro,Masculino,1960-04-28,Limón,Básico,Activo
CLI001752,Esteban,Zúñiga Ureña,Masculino,1968-08-06,Alajuela,Premium,Activo
CLI000668,Mauricio,Hernández Quesada,Masculino,1968-06-05,Puntarenas,Joven,Activo
CLI003345,Sofía,Villalobos Hernández,Femenino,1974-10-19,Cartago,Joven,Activo
CLI004622,Gerardo,Ureña Araya,Masculino,1952-01-10,Alajuela,Empresarial,Activo
CLI003021,Adriana,Solano González,Femenino,1956-06-30,Puntarenas,Empresarial,Activo
CLI005025,Sofía,Castro Carmona,Femenino,1955-04-11,Puntarenas,Joven,Activo
CLI002844,Gerardo,Vega González,Masculino,2004-01-15,Guanacaste,Estándar,Inactivo
CLI003769,Catalina,Quesada Campos,Femenino,1972-06-18,San José,Estándar,Inactivo
CLI005207,Javier,Espinoza Madrigal,Masculino,1965-11-23,Alajuela,Estándar,Activo
CLI003815,Paola,Mora Araya,Femenino,1976-05-06,Limón,Estándar,Activo
CLI004101,Luis,Mora Fonseca,Masculino,2006-08-05,Alajuela,Premium,Activo
CLI000938,Víctor,Araya Quesada,Masculino,2001-04-13,Guanacaste,Premium,Inactivo
CLI001021,Rodrigo,Vega Chacón,Masculino,1979-07-26,Limón,Básico,Activo
CLI003759,Manuel,Madrigal Sánchez,Masculino,1977-08-30,Heredia,Joven,Activo
CLI003583,Patricia,Vega Rodríguez,Femenino,1967-02-26,Heredia,Joven,Activo
CLI002604,Daniela,Méndez Jiménez,Femenino,1996-05-17,Puntarenas,Joven,Activo
CLI002580,Silvia,Rojas Jiménez,Femenino,1964-10-21,San José,Joven,Activo
CLI005983,Lucía,Quesada Hernández,Femenino,1954-06-05,Puntarenas,Básico,Activo
CLI005356,Javier,Sánchez Solano,Masculino,1985-03-14,Puntarenas,Premium,Activo
CLI007738,Lucía,González Gómez,Femenino,1998-02-25,Guanacaste,Estándar,Activo
CLI006716,Catalina,Villalobos Gómez,Femenino,1955-04-28,Puntarenas,Básico,Activo
CLI001186,Adriana,Cordero Ramírez,Femenino,1996-11-10,Heredia,Básico,Activo
CLI003281,Miguel,Vega Gómez,Masculino,1995-06-04,Puntarenas,Joven,Activo
CLI007345,Gabriela,González Vargas,Femenino,2000-12-22,Alajuela,Básico,Activo
CLI003275,Luis,Solano Mora,Masculino,1961-06-05,Limón,Joven,Activo
CLI007687,Vanessa,Zúñiga Rodríguez,Femenino,1986-06-22,Limón,Premium,Activo
CLI006727,Gerardo,Salazar Hernández,Masculino,1963-05-17,Heredia,Empresarial,Activo
CLI005793,Esteban,Villalobos Solano,Masculino,1998-04-12,Cartago,Premium,Activo
CLI000252,Iván,Araya Méndez,Masculino,1977-07-28,San José,Empresarial,Activo
CLI003488,Rebeca,Espinoza Sánchez,Femenino,2005-07-29,Heredia,Estándar,Activo
CLI000544,Verónica,Fonseca Hernández,Femenino,2007-05-08,Alajuela,Joven,Activo
CLI001738,Gabriela,Monge Hernández,Femenino,1954-06-07,Hereda,Básico,Activo
CLI002466,Pablo,Bolaños Bolaños,Masculino,1997-11-14,Cartago,Estándar,Activo
CLI001491,Cristina,Méndez Campos,Femenino,1980-06-30,Cartgago,Premium,Activo
CLI006303,Esteban,Zúñiga Vargas,Masculino,1964-10-25,Limón,Joven,Activo
CLI004128,Esteban,Rodríguez Solano,Masculino,1991-12-15,Hereda,Empresarial,Activo
CLI004806,Patricia,Solano Salazar,Femenino,2002-11-10,Puntarenas,Estándar,Activo
CLI003487,Víctor,Hernández Solano,Masculino,1994-09-26, Limón,Premium,Activo
CLI006093,Daniela,Rodríguez Ureña,Femenino,1979-06-04,Heredia,Premium,Activo
CLI007357,Daniela,Fonseca Vega,Femenino,1970-10-11,Guanacaste,Estándar,Inactivo
CLI005412,Javier,Castro Espinoza,Masculino,1954-08-04,Limón,Premium,Activo
CLI001947,Kevin,Salazar Mora,Masculino,1973-07-21,Cartago,Premium,Activo
